Feature,Importance
student_id_STU01571,2.299002212425043e-05
student_id_STU07185,2.2967282450012772e-05
student_id_STU04752,2.2966698597022085e-05
student_id_STU07098,2.288263973511636e-05
student_id_STU08675,2.287613217055176e-05
student_id_STU05865,2.286295907103707e-05
student_id_STU06871,2.2844024626717254e-05
student_id_STU07235,2.2835855625995952e-05
student_id_STU06396,2.2801204026281175e-05
student_id_STU07044,2.2801173925017652e-05
student_id_STU06298,2.2788147762679645e-05
student_id_STU02763,2.277522652248832e-05
student_id_STU04273,2.273057305473005e-05
student_id_STU02454,2.2723868509695622e-05
student_id_STU03274,2.2694524376640545e-05
student_id_STU01926,2.2694250844290672e-05
student_id_STU03420,2.2677784299319842e-05
student_id_STU04044,2.2665891879901015e-05
student_id_STU07579,2.2640230749829953e-05
student_id_STU09081,2.2600138173098123e-05
student_id_STU04322,2.2589129612957723e-05
student_id_STU01767,2.2584819475382513e-05
student_id_STU05613,2.2582229704064866e-05
student_id_STU03804,2.2572690187999516e-05
student_id_STU03688,2.255670371311418e-05
student_id_STU04507,2.2552500766420193e-05
student_id_STU00998,2.2547444631124497e-05
student_id_STU03085,2.2534137993822005e-05
student_id_STU02759,2.2525646900334226e-05
student_id_STU07254,2.251994117433591e-05
student_id_STU01120,2.2509247015510505e-05
student_id_STU05831,2.24861308272139e-05
student_id_STU01854,2.2479786516675566e-05
student_id_STU04368,2.245905436917425e-05
student_id_STU04040,2.245072232038207e-05
student_id_STU06948,2.243525232289244e-05
student_id_STU07963,2.2406079664030166e-05
student_id_STU09700,2.240448361795775e-05
student_id_STU04425,2.2387870940337507e-05
student_id_STU09762,2.233371161267001e-05
student_id_STU06132,2.232290487364218e-05
student_id_STU04092,2.2280323523094345e-05
student_id_STU07922,2.2275787375185264e-05
student_id_STU07717,2.2267669894646908e-05
student_id_STU06344,2.2252581620199007e-05
student_id_STU08343,2.2234535343656057e-05
student_id_STU01352,2.221209109627037e-05
student_id_STU07884,2.219126668714564e-05
student_id_STU05350,2.2156924050955785e-05
student_id_STU04232,2.209944836453589e-05
student_id_STU09570,2.2062126894812776e-05
student_id_STU03137,2.2006556965649964e-05
student_id_STU00065,2.2002904644868033e-05
student_id_STU06698,2.199111019937871e-05
student_id_STU03031,2.1959850155674064e-05
student_id_STU07802,2.1951612301607797e-05
student_id_STU02138,2.1929748244916506e-05
student_id_STU07600,2.1922819107459348e-05
student_id_STU06332,2.1891635693281683e-05
student_id_STU00724,2.184662855022003e-05
student_id_STU09058,2.1816212230330992e-05
student_id_STU09412,2.1800706815328168e-05
student_id_STU00468,2.174366881061028e-05
student_id_STU01704,2.1731653106541883e-05
student_id_STU00557,2.1722466295900793e-05
student_id_STU09231,2.170178904661555e-05
student_id_STU06959,2.169631778340592e-05
student_id_STU09910,2.169591816857914e-05
